LOCATION,INDICATOR,SUBJECT,MEASURE,FREQUENCY,TIME,Value,Flag Codes
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q1,84.80634624,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q2,86.93887074,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q3,89.18338777,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q4,91.39057396,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q1,93.65375642,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q2,96.13625758,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q3,98.67008866,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q4,100.7512832,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q1,102.2398507,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q2,102.9584694,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q3,103.1264582,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q4,103.6070929,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q1,104.2463836,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q2,103.9710686,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q3,102.65049,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q4,100.7839477,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q1,98.46010266,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q2,95.70228651,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q3,93.28978068,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q4,90.56462902,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q1,90.03266449,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q2,88.75874942,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q3,88.34344377,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q4,88.28278115,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q1,87.46616892,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q2,87.04619692,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q3,85.61829211,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q4,84.75968269,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q1,82.89314046,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q2,82.19318712,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q3,82.45450303,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q4,82.60849277,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q1,82.96780215,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q2,84.28838077,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q3,85.32431171,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q4,86.61689221,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q1,88.39010733,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q2,90.18198787,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q3,91.60055996,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2013-Q4,92.50583294,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q1,93.63042464,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q2,94.47036864,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q3,95.50629958,
USA,HOUSECOST,NOMINAL,IDX2015,Q,2014-Q4,96.74755016,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q1,77.17015709,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q2,78.40366407,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q3,79.66960224,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2004-Q4,80.96420357,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q1,82.3988802,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q2,83.67035877,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q3,85.2635887,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2005-Q4,86.60195241,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q1,87.90586186,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q2,89.03526298,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q3,90.16644605,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2006-Q4,91.70960543,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q1,92.62400009,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q2,93.4816272,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q3,93.77762692,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2007-Q4,93.60165601,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q1,93.22830378,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q2,92.69973907,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q3,91.27137724,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2008-Q4,89.33566097,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q1,88.21252504,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q2,87.49710295,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q3,87.83036518,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2009-Q4,88.41086299,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q1,88.54996353,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q2,88.80197573,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q3,88.48740137,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2010-Q4,88.57799837,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q1,88.35730859,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q2,88.3842995,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q3,88.55578565,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2011-Q4,88.52222472,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q1,88.7579867,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q2,89.12514994,
OECD,HOUSECOST,NOMINAL,IDX2015,Q,2012-Q3,89.48367153,
