LOCATION,TIME,Inflation Value
USA,2004-Q1,1.8178513
USA,2004-Q2,2.785870357
USA,2004-Q3,2.674859931
USA,2004-Q4,3.384947785
USA,2005-Q1,3.035172291
USA,2005-Q2,2.922940655
USA,2005-Q3,3.819750044
USA,2005-Q4,3.674677813
USA,2006-Q1,3.690868134
USA,2006-Q2,3.924268503
USA,2006-Q3,3.340115293
USA,2006-Q4,1.965395599
USA,2007-Q1,2.43165107
USA,2007-Q2,2.665286519
USA,2007-Q3,2.348974569
USA,2007-Q4,4.031136738
USA,2008-Q1,4.137035424
USA,2008-Q2,4.310421315
USA,2008-Q3,5.252501936
USA,2008-Q4,1.595802803
USA,2009-Q1,-0.184236788
USA,2009-Q2,-0.942140044
USA,2009-Q3,-1.606956013
USA,2009-Q4,1.48765638
USA,2010-Q1,2.352570029
USA,2010-Q2,1.775273566
USA,2010-Q3,1.202881591
USA,2010-Q4,1.229783901
USA,2011-Q1,2.148217665
USA,2011-Q2,3.34610641
USA,2011-Q3,3.715951135
USA,2011-Q4,3.344727711
USA,2012-Q1,2.829323361
USA,2012-Q2,1.887918303
USA,2012-Q3,1.684859711
USA,2012-Q4,1.903567832
USA,2013-Q1,1.740201875
USA,2013-Q2,1.414723261
USA,2013-Q3,1.504953424
USA,2013-Q4,1.207304915
USA,2014-Q1,1.429907964
USA,2014-Q2,2.080343612
USA,2014-Q3,1.790970139
USA,2014-Q4,1.164005648
